id_equipamento,nome_oficial,categoria_tarifaria,destino_gratuidade_hipossuficiencia,distrito_principal,distritos_intersectados,numero_distritos_intersectados,subprefeitura_principal,subprefeituras_intersectadas,numero_subprefeituras_intersectadas,metodo_contexto_administrativo,cd_dist,distrito_ibge,renda_media_responsavel,renda_mediana_responsavel,populacao_branca,populacao_preta,populacao_amarela,populacao_parda,populacao_indigena,populacao_categorias_raca,proporcao_preta_parda,tipo_analitico,nota_inferencia
cem_consolacao,Cemitério da Consolação,1,False,CONSOLACAO,CONSOLACAO:100.00%,1,SE,SE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030826,Consolação,11134.02,7500.0,43032.0,2056.0,1726.0,6154.0,4.0,52972.0,0.15498754058748018,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_quarta_parada,Cemitério da Quarta Parada,1,False,BELEM,BELEM:100.00%,1,MOOCA,MOOCA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030808,Belém,5532.23,3800.0,32550.0,3465.0,2484.0,15214.0,489.0,54202.0,0.34461827976827425,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_santana,Cemitério Santana (Chora Menino),2,False,SANTANA,SANTANA:100.00%,1,SANTANA-TUCURUVI,SANTANA-TUCURUVI:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030870,Santana,8368.55,5001.0,88914.0,5317.0,4289.0,14966.0,40.0,113526.0,0.1786639183975477,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_tremembe,Cemitério do Tremembé,2,False,TREMEMBE,TREMEMBE:100.00%,1,JACANA-TREMEMBE,JACANA-TREMEMBE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030881,Tremembé,3118.86,2000.0,100971.0,19996.0,1791.0,73359.0,133.0,196250.0,0.4756942675159236,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_vila_formosa_i,Cemitério Vila Formosa I,4,True,CARRAO,CARRAO:98.94%|VILA FORMOSA:1.06%,2,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA-FORMOSA-CARRAO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030820,Carrão,5706.49,3500.0,58891.0,4822.0,5621.0,14857.0,86.0,84277.0,0.23350380293555775,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_vila_formosa_ii,Cemitério Vila Formosa II,4,True,CARRAO,CARRAO:100.00%,1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA-FORMOSA-CARRAO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030820,Carrão,5706.49,3500.0,58891.0,4822.0,5621.0,14857.0,86.0,84277.0,0.23350380293555775,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_vila_mariana,Cemitério Vila Mariana,1,False,VILA MARIANA,VILA MARIANA:100.00%,1,VILA MARIANA,VILA MARIANA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030890,Vila Mariana,12782.2,9600.0,98414.0,3073.0,13825.0,11460.0,23.0,126795.0,0.11461808430931819,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_araca,Cemitério do Araçá,1,False,CONSOLACAO,CONSOLACAO:100.00%,1,SE,SE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030826,Consolação,11134.02,7500.0,43032.0,2056.0,1726.0,6154.0,4.0,52972.0,0.15498754058748018,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_dom_bosco,Cemitério Dom Bosco,3,True,PERUS,PERUS:100.00%,1,PERUS-ANHANGUERA,PERUS-ANHANGUERA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030861,Perus,2483.88,1800.0,39017.0,11796.0,257.0,36426.0,53.0,87549.0,0.5508001233594901,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_santo_amaro,Cemitério Santo Amaro,2,False,SANTO AMARO,SANTO AMARO:100.00%,1,SANTO AMARO,SANTO AMARO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030871,Santo Amaro,11732.3,7500.0,67586.0,2710.0,3989.0,10931.0,12.0,85228.0,0.16005303421410805,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_sao_paulo,Cemitério São Paulo,1,False,PINHEIROS,PINHEIROS:100.00%,1,PINHEIROS,PINHEIROS:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030862,Pinheiros,14085.28,10000.0,54575.0,1818.0,2981.0,5571.0,40.0,64985.0,0.11370316226821574,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,3,False,CACHOEIRINHA,CACHOEIRINHA:100.00%,1,CASA VERDE-LIMAO-CACHOEIRINHA,CASA VERDE-LIMAO-CACHOEIRINHA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030813,Cachoeirinha,2819.71,2000.0,68619.0,19375.0,1165.0,53778.0,114.0,143051.0,0.5113770613277782,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_campo_grande,Cemitério Campo Grande,2,False,CAMPO GRANDE,CAMPO GRANDE:100.00%,1,SANTO AMARO,SANTO AMARO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030816,Campo Grande,7793.98,5000.0,79735.0,6898.0,3665.0,25457.0,30.0,115785.0,0.27944034201321416,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_lageado,Cemitério do Lageado,3,False,LAJEADO,LAJEADO:100.00%,1,GUAIANASES,GUAIANASES:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030896,Lajeado,2040.25,1500.0,63568.0,21881.0,177.0,78461.0,101.0,164188.0,0.6111408872755622,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_lapa,Cemitério da Lapa,1,False,VILA LEOPOLDINA,VILA LEOPOLDINA:100.00%,1,LAPA,LAPA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030888,Vila Leopoldina,11075.3,8000.0,35969.0,1589.0,1982.0,6134.0,17.0,45691.0,0.1690267229870215,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_parelheiros,Cemitério de Parelheiros,3,False,PARELHEIROS,PARELHEIROS:100.00%,1,PARELHEIROS,PARELHEIROS:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030855,Parelheiros,2000.13,1500.0,57973.0,19985.0,515.0,73053.0,905.0,152431.0,0.6103614094245922,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_saudade,Cemitério da Saudade,3,True,SAO MIGUEL,SAO MIGUEL:100.00%,1,SAO MIGUEL,SAO MIGUEL:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030874,São Miguel,2514.14,2000.0,39775.0,8834.0,726.0,31548.0,47.0,80930.0,0.4989744223402941,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_freguesia_do_o,Cemitério da Freguesia do Ó,2,False,FREGUESIA DO O,FREGUESIA DO O:100.00%,1,FREGUESIA-BRASILANDIA,FREGUESIA-BRASILANDIA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030829,Freguesia do Ó,4207.39,2500.0,82521.0,14833.0,1260.0,38349.0,131.0,137094.0,0.387923614454316,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_itaquera,Cemitério de Itaquera,3,False,PARQUE DO CARMO,PARQUE DO CARMO:100.00%,1,ITAQUERA,ITAQUERA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030857,Parque do Carmo,3197.01,2000.0,37357.0,8293.0,661.0,28133.0,42.0,74486.0,0.4890314958515694,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_penha,Cemitério da Penha,2,False,PENHA,PENHA:100.00%,1,PENHA,PENHA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030859,Penha,4047.14,3000.0,82927.0,11527.0,2314.0,35191.0,284.0,132243.0,0.3532738972951309,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_sao_luiz,Cemitério São Luiz,4,True,JARDIM SAO LUIS,JARDIM SAO LUIS:100.00%,1,M BOI MIRIM,M BOI MIRIM:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030846,Jardim São Luís,2720.6,2000.0,109486.0,33459.0,939.0,115066.0,116.0,259066.0,0.5733095041418017,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
cem_sao_pedro,Cemitério São Pedro,2,False,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030893,Vila Prudente,5294.91,3500.0,73454.0,5813.0,2813.0,23492.0,46.0,105618.0,0.2774621750080479,cemiterio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
crem_vila_alpina,Crematório Vila Alpina,,True,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983,355030893,Vila Prudente,5294.91,3500.0,73454.0,5813.0,2813.0,23492.0,46.0,105618.0,0.2774621750080479,crematorio,Indicadores do distrito onde se localiza o equipamento; não representam o perfil individual das pessoas sepultadas.
