id_equipamento,nome_oficial,tipo,unidade_memorial_contratual,bloco_concessao,concessionaria,endereco_oficial,cep_publicado,cep_normalizado,categoria_tarifaria,destino_gratuidade_hipossuficiencia,modalidade_gratuita,tarifa_sepultamento_avulso_2026,referencia_tarifaria,fonte_endereco,fonte_bloco,fonte_categoria,fonte_gratuidade,observacoes
cem_consolacao,Cemitério da Consolação,cemiterio,Consolação,1,Consolare,"Rua da Consolação, 1660",01302-001,01302-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_quarta_parada,Cemitério da Quarta Parada,cemiterio,Quarta Parada,1,Consolare,"Avenida Salim Farah Maluf, 3303",03303-010,03303-010,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_santana,Cemitério Santana (Chora Menino),cemiterio,Santana,1,Consolare,"Rua Nova dos Portugueses, 141",02462-080,02462-080,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_tremembe,Cemitério do Tremembé,cemiterio,Tremembé,1,Consolare,"Avenida Maria Amália Lopes de Azevedo, 2930",02350-003,02350-003,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_vila_formosa_i,Cemitério Vila Formosa I,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida Flor de Vila Formosa, s/n",03366-010,03366-010,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos."
cem_vila_formosa_ii,Cemitério Vila Formosa II,cemiterio,Vila Formosa I e II,1,Consolare,"Avenida João XXIII, 2537",,,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Vila Formosa I e II compartilham um memorial contratual, mas são pontos operacionais distintos. CEP a confirmar no GeoSampa."
cem_vila_mariana,Cemitério Vila Mariana,cemiterio,Vila Mariana,1,Consolare,"Avenida Lacerda Franco, 2012",01536-001,01536-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_araca,Cemitério do Araçá,cemiterio,Araçá,2,Cortel SP,"Avenida Doutor Arnaldo, 300",01246-000,01246-000,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_dom_bosco,Cemitério Dom Bosco,cemiterio,Dom Bosco,2,Cortel SP,"Estrada do Pinheirinho, 860",05215-000,05215-000,3,True,sepultamento,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_santo_amaro,Cemitério Santo Amaro,cemiterio,Santo Amaro,2,Cortel SP,"Rua Ministro Roberto Cardoso Alves, 186",04737-000,04737-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_sao_paulo,Cemitério São Paulo,cemiterio,São Paulo,2,Cortel SP,"Rua Cardeal Arcoverde, 1250",05408-001,05408-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,cemiterio,Vila Nova Cachoeirinha,2,Cortel SP,"Avenida João Marcelino Branco, s/n",02610-000,02610-000,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_campo_grande,Cemitério Campo Grande,cemiterio,Campo Grande,3,Grupo Maya,"Avenida Nossa Senhora do Sabará, 1371",04685-003,04685-003,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_lageado,Cemitério do Lageado,cemiterio,Lageado,3,Grupo Maya,"Estrada do Lageado Velho, 1490",08451-000,08451-000,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Grafia contratual: Lageado; também aparece como Lajeado."
cem_lapa,Cemitério da Lapa,cemiterio,Lapa,3,Grupo Maya,"Rua Bergson, 347",05301-060,05301-060,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_parelheiros,Cemitério de Parelheiros,cemiterio,Parelheiros,3,Grupo Maya,"Rua Amaro de Pontes, 237",04890-36,04890-360,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"CEP publicado de forma incompleta na página oficial; normalização provisória a conferir no GeoSampa."
cem_saudade,Cemitério da Saudade,cemiterio,Saudade,3,Grupo Maya,"Rua Samuel de Carvalho, 60",08041-00,08041-000,3,True,sepultamento,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"CEP publicado de forma incompleta na página oficial; normalização provisória a conferir no GeoSampa."
cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,Freguesia do Ó,4,Velar SP,"Avenida Itaberaba, 250",02734-000,02734-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_itaquera,Cemitério de Itaquera,cemiterio,Itaquera,4,Velar SP,"Rua Serra de São Domingos, 1597",08290-370,08290-370,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_penha,Cemitério da Penha,cemiterio,Penha,4,Velar SP,"Avenida Amador Bueno da Veiga, 333",03635-000,03635-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_sao_luiz,Cemitério São Luiz,cemiterio,São Luiz,4,Velar SP,"Rua Antônio de Sena, 82",05846-080,05846-080,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
cem_sao_pedro,Cemitério São Pedro,cemiterio,São Pedro,4,Velar SP,"Avenida Francisco Falconi, 837",03227-000,03227-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,
crem_vila_alpina,Crematório Vila Alpina,crematorio,Vila Alpina (Crematório),4,Velar SP,"Avenida Francisco Falconi, 437",03227-000,03227-000,,True,cremacao,,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,"Equipamento de cremação; não recebe categoria de cemitério nem tarifa de sepultamento."
